Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
30,Female,39,14,5,18,Standard,Annual,932,17,1
65,Female,49,1,10,8,Basic,Monthly,557,6,1
55,Female,14,4,6,18,Basic,Quarterly,185,3,1
58,Male,38,21,7,7,Standard,Monthly,396,29,1
41,Female,39,23,3,12,Standard,Annual,731.1,15,0
32,Female,31,23,3,11,Premium,Annual,947.18,8,0
42,Male,7,23,1,11,Basic,Annual,960.4,12,0
44,Female,45,3,3,13,Basic,Annual,776.12,12,0
43,Male,60,26,1,9,Standard,Annual,938.87,17,0
44,Female,11,18,2,15,Basic,Quarterly,837.97,8,0
